stock_name,scientific_name,common_name,region,tsn,fishery_type
SSALMSKEENA,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMSTELLAKO,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMTOGIAK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMUCOOKI,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMUGASHIK,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSALMWEAVER,Oncorhynchus nerka,Sockeye salmon,Canada West Coast,161979,Pacific Salmon
SSALMWOOD,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSSALMLUPPERS,Oncorhynchus nerka,Sockeye salmon,US Alaska,161979,Pacific Salmon
SSTHORNHPCOAST,Sebastolobus alascanus,Shortspine thornyhead,US West Coast,166783,Rockfish
STMARLINNEPAC,Kajikia audax,Striped marlin,Pacific Ocean,768127,Tuna and Marlin
STMARLINWCNPAC,Kajikia audax,Striped marlin,Pacific Ocean,768127,Tuna and Marlin
TANNERCRABBSAI,Chionoecetes bairdi,Tanner crab,US Alaska,98429,Invertebrate
TIGERFLATSE,Neoplatycephalus richardsoni,Tiger flathead,Australia,644187,Other Marine
TILEGM,Lopholatilus chamaeleonticeps,Tilefish,US Southeast and Gulf,168546,Other Marine
TILEMATLC,Lopholatilus chamaeleonticeps,Tilefish,US East Coast,168546,Other Marine
TURBLKGSA29,Psetta maxima,Turbot,Mediterranean-Black Sea,616195,Other Marine
TURIV,Scophthalmus maximus,Turbot,European Union,172748,Flatfish
WANGLVII.VIIIabd,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine
WANGLVIIIc.Ixa,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine
WANGLVIIIc.IXa,Lophius piscatorius,White anglerfish,European Union,164501,Other Marine
WHAKE4T,Urophycis tenuis,White hake,Canada East Coast,164732,Gadids
WHITMEDGSA29,Merlangius merlangus,Whiting,Mediterranean-Black Sea,164758,Gadids
WHITNS.VIId,Merlangius merlangus,Whiting,European Union,164758,Gadids
WHITVIIa,Merlangius merlangus,Whiting,European Union,164758,Gadids
WHITVIIbce.k,Merlangius merlangus,Whiting,European Union,164759,Gadids
WINFLOUN4T,Pseudopleuronectes americanus,Winter flounder,Canada East Coast,172905,Flatfish
WITFLOUN4RST,Glyptocephalus cynoglossus,Witch flounder,Canada East Coast,172873,Flatfish
WMARLINATL,Tetrapturus albidus,White marlin,Atlantic Ocean,172499,Tuna and Marlin
WROCKBCW,Sebastes entomelas,Widow rockfish,Canada West Coast,166718,Rockfish
WSHRIMPGM,Litopenaeus setiferus,White shrimp,US Southeast and Gulf,551680,Invertebrate
YEGROUPGM,Epinephelus flavolimbatus,Yellowedge grouper,US Southeast and Gulf,167699,Other Marine
YFINEIO,Thunnus albacares,Yellowfin tuna,Indian Ocean,172423,Tuna and Marlin
