stockid,tsn,scientificname,commonname,areaid
RHGRENNEATL,165421,Macrourus berglax,Roughhead grenadier,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
RKCRABAIWS,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-AIWS
RKCRABBB,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-BB
RKCRABNS,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-NS
RKCRABPI,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-PI
RMULLMEDGSA1,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA1
RMULLMEDGSA10,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA10
RMULLMEDGSA11,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA11
RMULLMEDGSA15-16,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA15-16
RMULLMEDGSA17-18,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA17-18
RMULLMEDGSA19,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA19
RMULLMEDGSA25,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA25
RMULLMEDGSA29,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA29
RMULLMEDGSA5,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA5
RMULLMEDGSA6,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA6
RMULLMEDGSA7,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA7
RMULLMEDGSA9,169419,Mullus barbatus,Red mullet,multinational-GFCM-GSA9
RNGENI-II-IV-Va2-VIII-IX-XIVab2,165350,Coryphaenoides rupestris,Roundnose grenadier,multinational-ICES-I-II-IV-Va2-VIII-IX-XIVab2
RNGENMATLR,165350,Coryphaenoides rupestris,Roundnose grenadier,multinational-ICES-MATLR
RNGENVb-VI-VII-XIIb,165350,Coryphaenoides rupestris,Roundnose grenadier,multinational-ICES-Vb-VI-VII-XIIb
RNGRENIIIa,165350,Coryphaenoides rupestris,Roundnose grenadier,multinational-ICES-IIIa
