stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
BLINGVb-VI-VII, 164761,Molva dypterygia,Blue ling,multinational-ICES-Vb-VI-VII,Blue ling ICES 5b-6-7,European Union,France,27,FRA,71281a46-4e50-3016-9cd5-55c935d1ad5a,0,NA,Current
BLKMARLINIO, 768125,Istiompax indica,Black marlin,multinational-IOTC-IO,Black marlin Indian Ocean,Indian Ocean,Iran,57,IRN,43c75b29-85b0-34aa-a725-f95b6d49090c,0,NA,Current
BLRAYIVa-VI, 160880,Raja brachyura,Blonde ray,multinational-ICES-IVa-VI,Blonde ray ICES 4a-6,European Union,Ireland,27,IRL,,0,NA,Current
BLRAYIVc-VIId, 160880,Raja brachyura,Blonde ray,multinational-ICES-IVc-VIId,Blonde ray ICES 4c-7d,European Union,Belgium,27,BEL,,0,NA,Current
BLRAYIXa, 160880,Raja brachyura,Blonde ray,multinational-ICES-IXa,Blonde ray Portugese Waters -East,European Union,Portugal,27,PRT,,0,NA,Current
BLRAYVIIafg, 160880,Raja brachyura,Blonde ray,multinational-ICES-VIIafg,Blonde ray ICES 7afg,European Union,Belgium,27,BEL,,0,NA,Current
BLRAYVIIe, 160880,Raja brachyura,Blonde ray,multinational-ICES-VIIe,Blonde ray Western English Channel,European Union,Great Britain,27,GBR,,0,NA,Current
BLSHARNPAC, 160424,Prionace glauca,Blue shark,multinational-ISC-NPAC,Blue shark North Pacific Ocean,Pacific Ocean,Japan,77,JPN,e3ecbf64-2646-3249-8e30-6d73d2c3b5cc,0,NA,Current
BLTILESATLC, 168543,Caulolatilus microps,Blueline tilefish,USA-NMFS-SATLC,Blueline tilefish Southern Atlantic coast,US Southeast and Gulf,USA,31,USA,d5b9bcb0-66ff-3923-a03a-71e25a840a3d,0,NA,Current
BLUEFISHATLC, 168559,Pomatomus saltatrix,Bluefish,USA-NMFS-ATLC,Bluefish Atlantic Coast,US East Coast,USA,21,USA,01bf2c1f-904a-3929-85fc-a1049686b961,0,NA,Current
BLUEROCKCAL, 166730,Sebastes mystinus,Blue rockfish,USA-NMFS-CAL,Blue rockfish California,US West Coast,USA,77,USA,,0,NA,Current
BMACKECS, 172415,Scomber australasicus,Spotted mackerel,Japan-FAJ-ECS,Spotted mackerel East China Sea,Japan,Japan,61,JPN,899cecd6-5d80-30e3-9d90-698b1616528f,0,,Current
BMACKPJPN, 172415,Scomber australasicus,Spotted mackerel,Japan-FAJ-PJPN,Spotted mackerel Pacific Coast of Japan,Japan,Japan,61,JPN,,0,NA,Current
BMARLINATL, 172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Blue marlin Atlantic Ocean,Atlantic Ocean,Japan,31,JPN,e9d96077-6cb7-34c2-bf06-dc04e25dad89,0,,Current
BMARLINIO, 172497,Makaira mazara,Indo Pacific blue marlin,multinational-IOTC-IO,Indo Pacific blue marlin Indian Ocean,Indian Ocean,Taiwan,51,TWN,7febfe97-2952-3392-bde2-dfc48d754ff5,0,NA,Current
